Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Nashville Dental Center","4.5","593","Dentist","3754 Nolensville Pk, Nashville, TN 37211, United States","https://www.nashvilledc.net/","+1 615-331-2483","https://www.google.com/maps/place/Nashville+Dental+Center/data=!4m7!3m6!1s0x88646f78468fffff:0x44356d99786593b4!8m2!3d36.0903551!4d-86.7331503!16s%2Fg%2F1tjwjg_4!19sChIJ__-PRnhvZIgRtJNleJltNUQ?authuser=0&hl=en&rclk=1"
"Brite Smilez Cosmetic & Family Dentistry","4.6","250","Dentist","5245 Hickory Hollow Pkwy, Antioch, TN 37013, United States","https://www.britesmilezdental.com/","+1 615-866-9109","https://www.google.com/maps/place/Brite+Smilez+Cosmetic+%26+Family+Dentistry/data=!4m7!3m6!1s0x88646e41dc759efd:0xed3893c4a5fd39ad!8m2!3d36.0475899!4d-86.6575492!16s%2Fg%2F1tklr8sn!19sChIJ_Z513EFuZIgRrTn9pcSTOO0?authuser=0&hl=en&rclk=1"
"Dentistry of Nashville","4.9","858","Dentist","2125 Blakemore Ave, Nashville, TN 37212, United States","https://dentistryofnashville.com/","+1 615-383-3690","https://www.google.com/maps/place/Dentistry+of+Nashville/data=!4m7!3m6!1s0x886466a1dd900c65:0x7250f245391794d6!8m2!3d36.137544!4d-86.803203!16s%2Fg%2F1hc0ybk2x!19sChIJZQyQ3aFmZIgR1pQXOUXyUHI?authuser=0&hl=en&rclk=1"
"Nolensville Smiles Dentistry","4.6","28","Dentist","197 Burkitt Commons Ave, Nolensville, TN 37135, United States","https://www.nolensvillesmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A310%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_NDc4NzU3MzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-257-5699","https://www.google.com/maps/place/Nolensville+Smiles+Dentistry/data=!4m7!3m6!1s0x886471b1dea531ff:0xb3489c786f04f2b2!8m2!3d35.9909308!4d-86.6825147!16s%2Fg%2F11txnyg6mn!19sChIJ_zGl3rFxZIgRsvIEb3icSLM?authuser=0&hl=en&rclk=1"
"Goodlettsville Smiles","5.0","742","Dentist","3050 Business Park Cir #100, Goodlettsville, TN 37072, United States","https://www.goodlettsvillesmiles.com/","+1 615-859-0188","https://www.google.com/maps/place/Goodlettsville+Smiles/data=!4m7!3m6!1s0x8864450672638f97:0x820c36013ab8353f!8m2!3d36.3323175!4d-86.7031236!16s%2Fg%2F11gk_mg2yx!19sChIJl49jcgZFZIgRPzW4OgE2DII?authuser=0&hl=en&rclk=1"
"Roach Family Dentistry & Associates","4.6","361","Dentist","3824 Bedford Ave, Nashville, TN 37215, United States","https://www.greenhillsdentist.net/","+1 615-499-5608","https://www.google.com/maps/place/Roach+Family+Dentistry+%26+Associates/data=!4m7!3m6!1s0x88646475c7507285:0x2a00c25961537ddd!8m2!3d36.1074885!4d-86.8205619!16s%2Fg%2F1tj5lx29!19sChIJhXJQx3VkZIgR3X1TYVnCACo?authuser=0&hl=en&rclk=1"
"West Meade Dental","4.8","410","Dentist","6606 Charlotte Pike #102, Nashville, TN 37209, United States","http://westmeadedental.com/","+1 615-861-2241","https://www.google.com/maps/place/West+Meade+Dental/data=!4m7!3m6!1s0x8864618b258ce91d:0xdbabab4ad64ed733!8m2!3d36.1388314!4d-86.8817102!16s%2Fg%2F1jkw3415t!19sChIJHemMJYthZIgRM9dO1kqrq9s?authuser=0&hl=en&rclk=1"
"Indian Lake Family Dental","4.9","913","Dentist","299A Indian Lake Blvd, Hendersonville, TN 37075, United States","http://indianlakefamilydental.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing","+1 615-824-2926","https://www.google.com/maps/place/Indian+Lake+Family+Dental/data=!4m7!3m6!1s0x886440b69ce73995:0x3d7665ac50dbb54f!8m2!3d36.3292045!4d-86.5943679!16s%2Fg%2F1td48qbh!19sChIJlTnnnLZAZIgRT7XbUKxldj0?authuser=0&hl=en&rclk=1"
"Mt. Juliet Family & Cosmetic Dentistry","5.0","628","Dentist","40 W Caldwell St, Mt. Juliet, TN 37122, United States","https://www.dentistmtjuliettn.com/","+1 615-754-5840","https://www.google.com/maps/place/Mt.+Juliet+Family+%26+Cosmetic+Dentistry/data=!4m7!3m6!1s0x8864158ef6136d8d:0x8acec2066f42875b!8m2!3d36.2029691!4d-86.5188345!16s%2Fg%2F1tdfzgbb!19sChIJjW0T9o4VZIgRW4dCbwbCzoo?authuser=0&hl=en&rclk=1"
"Belle Meade Family Dentistry","4.9","733","Dentist","104 Kenner Ave #101, Nashville, TN 37205, United States","https://www.bellemeadedental.com/","+1 615-298-2030","https://www.google.com/maps/place/Belle+Meade+Family+Dentistry/data=!4m7!3m6!1s0x886463dcc2b37c7d:0x980ef83f63fbf233!8m2!3d36.1252403!4d-86.8453369!16s%2Fg%2F1td2653q!19sChIJfXyzwtxjZIgRM_L7Yz_4Dpg?authuser=0&hl=en&rclk=1"
"Nashville Family Dentistry","4.8","277","Dental clinic","5802 Nolensville Pk, Nashville, TN 37211, United States","https://familydentistrynashville.com/","+1 615-832-5899","https://www.google.com/maps/place/Nashville+Family+Dentistry/data=!4m7!3m6!1s0x88647027f5c287fb:0x8c6f76f542387fd3!8m2!3d36.044314!4d-86.7124118!16s%2Fg%2F1tdd1f51!19sChIJ-4fC9SdwZIgR0384QvV2b4w?authuser=0&hl=en&rclk=1"
"Hermitage Family & Cosmetic Dentistry","4.9","144","Dentist","260 Jackson Meadows Dr #1425, Hermitage, TN 37076, United States","https://hermitagefamilycosmetic.com/","+1 615-872-7762","https://www.google.com/maps/place/Hermitage+Family+%26+Cosmetic+Dentistry/data=!4m7!3m6!1s0x8864401f5f94a963:0xe05f0c1184fa56e!8m2!3d36.2191738!4d-86.6004333!16s%2Fg%2F1w0p6c9p!19sChIJY6mUXx9AZIgRbqVPGMHwBQ4?authuser=0&hl=en&rclk=1"
"Embassy Dental (Nashville)","4.4","397","Dental clinic","1921 21st Ave S, Nashville, TN 37212, United States","https://embassydental.com/locations/hillsboro/","+1 615-383-0670","https://www.google.com/maps/place/Embassy+Dental+%28Nashville%29/data=!4m7!3m6!1s0x8864669ffa735c8d:0x1ccb3929eab88e85!8m2!3d36.1343802!4d-86.8015401!16s%2Fg%2F1tfc2rqr!19sChIJjVxz-p9mZIgRhY646ik5yxw?authuser=0&hl=en&rclk=1"
"Iroquois Family Dentistry","5.0","833","Dentist","5115 Harding Pike Ste 101, Nashville, TN 37205, United States","https://www.ifdnashville.com/","+1 615-298-2040","https://www.google.com/maps/place/Iroquois+Family+Dentistry/data=!4m7!3m6!1s0x886463dcdd493741:0xb1d7f062053187a6!8m2!3d36.1043153!4d-86.8687329!16s%2Fg%2F11f9j8gbkj!19sChIJQTdJ3dxjZIgRpocxBWLw17E?authuser=0&hl=en&rclk=1"
"Music City Dental","4.9","457","Dentist","808 Kirkwood Ave, Nashville, TN 37204, United States","https://www.musiccitydental.com/","+1 615-953-2469","https://www.google.com/maps/place/Music+City+Dental/data=!4m7!3m6!1s0x886465d142fe8c85:0xb87622e4690fd8e2!8m2!3d36.1215284!4d-86.7765328!16s%2Fg%2F12hp45wpr!19sChIJhYz-QtFlZIgR4tgPaeQidrg?authuser=0&hl=en&rclk=1"
"East Side Smiles","4.9","312","Dentist","7 N 10th St, Nashville, TN 37206, United States","https://www.eastsidesmiles.net/","+1 615-227-2400","https://www.google.com/maps/place/East+Side+Smiles/data=!4m7!3m6!1s0x886467d27f899753:0x819301f4c8fbf39c!8m2!3d36.1786291!4d-86.7516534!16s%2Fg%2F1tc_4v3c!19sChIJU5eJf9JnZIgRnPP7yPQBk4E?authuser=0&hl=en&rclk=1"
"Cane Ridge Dentist","4.7","1,231","Dentist","1315 Bell Rd, Antioch, TN 37013, United States","http://caneridgedentist.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing","+1 615-717-0507","https://www.google.com/maps/place/Cane+Ridge+Dentist/data=!4m7!3m6!1s0x88646e1c22593893:0x3b7d2f7f660e61a8!8m2!3d36.046664!4d-86.676189!16s%2Fg%2F1tftg11c!19sChIJkzhZIhxuZIgRqGEOZn8vfTs?authuser=0&hl=en&rclk=1"
"Oak Hill Family Dentistry PLLC","5.0","8","Dentist","5544 Franklin Pike STE 102, Nashville, TN 37220, United States","http://www.ohfdentistry.com/","+1 615-373-0642","https://www.google.com/maps/place/Oak+Hill+Family+Dentistry+PLLC/data=!4m7!3m6!1s0x88647b2a14b2a08f:0x9b67604ea7f44215!8m2!3d36.0422571!4d-86.7828327!16s%2Fg%2F11cmhdmqjh!19sChIJj6CyFCp7ZIgRFUL0p05gZ5s?authuser=0&hl=en&rclk=1"
"Sunny Smiles Family Dentistry: Sunny Bant, DDS","4.9","586","Dentist","3913 Lebanon Pike, Hermitage, TN 37076, United States","http://sunnysmilesfamilydentistry.com/","+1 615-505-1111","https://www.google.com/maps/place/Sunny+Smiles+Family+Dentistry:+Sunny+Bant,+DDS/data=!4m7!3m6!1s0x88646a600b826f79:0x1e64dfcffe4c551c!8m2!3d36.1946081!4d-86.6217194!16s%2Fg%2F11fy2l8g8z!19sChIJeW-CC2BqZIgRHFVM_s_fZB4?authuser=0&hl=en&rclk=1"
"Nolensville Family Dentistry","4.9","139","Dentist","7171 Nolensville Rd #102, Nolensville, TN 37135, United States","","+1 615-891-4223","https://www.google.com/maps/place/Nolensville+Family+Dentistry/data=!4m7!3m6!1s0x88647146240ee011:0xa68b19fa65e0a22b!8m2!3d35.9679572!4d-86.6778756!16s%2Fg%2F11bwnd3t5l!19sChIJEeAOJEZxZIgRK6LgZfoZi6Y?authuser=0&hl=en&rclk=1"
"Cool Springs Family Dentistry, PLLC","5.0","149","Dentist","8113 Moores Ln Suite 2100, Brentwood, TN 37027, United States","http://www.coolspringsdentistry.com/","+1 615-942-7811","https://www.google.com/maps/place/Cool+Springs+Family+Dentistry,+PLLC/data=!4m7!3m6!1s0x88647bdde17e191f:0xf6b37c49604367ad!8m2!3d35.965267!4d-86.801285!16s%2Fg%2F1tl0y23r!19sChIJHxl-4d17ZIgRrWdDYEl8s_Y?authuser=0&hl=en&rclk=1"
"Sullivan Family Dentistry","5.0","268","Dentist","2000 Richard Jones Rd # 107, Nashville, TN 37215, United States","https://www.sullivanfamilydentists.com/","+1 615-298-1651","https://www.google.com/maps/place/Sullivan+Family+Dentistry/data=!4m7!3m6!1s0x8864646e59ac36ef:0xdf9a29f8e5f72fee!8m2!3d36.1048926!4d-86.8096533!16s%2Fg%2F11dfj6l54f!19sChIJ7zasWW5kZIgR7i_35fgpmt8?authuser=0&hl=en&rclk=1"
"Sylvan Park Smiles Dentistry","4.2","114","Dentist","4502 Charlotte Pike, Nashville, TN 37209, United States","https://www.sylvanparksmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A863%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTM1NDU1ODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-647-8421","https://www.google.com/maps/place/Sylvan+Park+Smiles+Dentistry/data=!4m7!3m6!1s0x8864616b91d7b597:0xa44691ec6da391f!8m2!3d36.152367!4d-86.8413335!16s%2Fg%2F11h7rr56wm!19sChIJl7XXkWthZIgRHznaxh5pRAo?authuser=0&hl=en&rclk=1"
"Lignum Dental","4.9","251","Dentist","5295 Murfreesboro Rd, La Vergne, TN 37086, United States","https://www.lignumdental.com/","+1 615-930-0380","https://www.google.com/maps/place/Lignum+Dental/data=!4m7!3m6!1s0x88640d1303174645:0x3a39be1d6e81f141!8m2!3d36.0178985!4d-86.565361!16s%2Fg%2F11qq6bkz0v!19sChIJRUYXAxMNZIgRQfGBbh2-OTo?authuser=0&hl=en&rclk=1"
"South Grove Family Dentistry","4.9","409","Dentist","6688 Nolensville Pk Suite 104, Brentwood, TN 37027, United States","https://www.southgrovedental.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=","+1 615-645-0463","https://www.google.com/maps/place/South+Grove+Family+Dentistry/data=!4m7!3m6!1s0x886471a81ef5f9d3:0x3b418b0897f9bc50!8m2!3d36.0005459!4d-86.6923972!16s%2Fg%2F11b6njmb0p!19sChIJ0_n1HqhxZIgRULz5lwiLQTs?authuser=0&hl=en&rclk=1"
"MidTN Dentistry","4.7","231","Dentist","741 President Pl STE 120, Smyrna, TN 37167, United States","https://mymidtndentistry.com/","+1 615-220-6990","https://www.google.com/maps/place/MidTN+Dentistry/data=!4m7!3m6!1s0x88640cea7d985e0b:0x872ae8dabcd2eb57!8m2!3d35.9776697!4d-86.5598211!16s%2Fg%2F1tgfxc46!19sChIJC16YfeoMZIgRV-vSvNroKoc?authuser=0&hl=en&rclk=1"
"Hermitage Cosmetic and Implant Dentistry","5.0","1,222","Dentist","4251 Lebanon Pike, Hermitage, TN 37076, United States","https://www.hcidentistry.com/","+1 615-889-5545","https://www.google.com/maps/place/Hermitage+Cosmetic+and+Implant+Dentistry/data=!4m7!3m6!1s0x88646a8f5dcf7497:0xf93d3e0a761e3b10!8m2!3d36.2042373!4d-86.6146311!16s%2Fg%2F1w97w393!19sChIJl3TPXY9qZIgREDsedgo-Pfk?authuser=0&hl=en&rclk=1"
"Tabor Dental Associates","5.0","600","Dentist","107 Maple Row Blvd, Hendersonville, TN 37075, United States","https://smilesthatrock.com/?utm_source=hendersonville-tn-listing&utm_medium=gmb&utm_campaign=seo&utm_content=website-link","+1 615-822-3200","https://www.google.com/maps/place/Tabor+Dental+Associates/data=!4m7!3m6!1s0x88644749db4f799d:0xcccef39575b3dc12!8m2!3d36.3087921!4d-86.6000948!16s%2Fg%2F1tg_xtvl!19sChIJnXlP20lHZIgREtyzdZXzzsw?authuser=0&hl=en&rclk=1"
"Sumner Dental Group - Dentist Gallatin","4.9","769","Dentist","200 S Westland Ave #1, Gallatin, TN 37066, United States","https://sumnerdentalgroup.com/","+1 615-257-3133","https://www.google.com/maps/place/Sumner+Dental+Group+-+Dentist+Gallatin/data=!4m7!3m6!1s0x8864300be5f1718b:0x4f52cd7b422b4834!8m2!3d36.3896074!4d-86.4374012!16s%2Fg%2F1tcw4b_1!19sChIJi3Hx5QswZIgRNEgrQnvNUk8?authuser=0&hl=en&rclk=1"
"Devine Dentistry","5.0","380","Cosmetic dentist","4219 Hillsboro Pike # 105, Nashville, TN 37215, United States","http://devinedentistry.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing","+1 615-269-4209","https://www.google.com/maps/place/Devine+Dentistry/data=!4m7!3m6!1s0x886464784aa20eab:0x210c86353537740c!8m2!3d36.100239!4d-86.820191!16s%2Fg%2F1tcw4c07!19sChIJqw6iSnhkZIgRDHQ3NTWGDCE?authuser=0&hl=en&rclk=1"
"Schmidle Family Dentistry","4.9","622","Dentist","313A Bluebird Dr, Goodlettsville, TN 37072, United States","https://schmidlefamilydentistry.com/","+1 615-859-1910","https://www.google.com/maps/place/Schmidle+Family+Dentistry/data=!4m7!3m6!1s0x8864437f3fb8ccad:0xfcc0c216e453359a!8m2!3d36.3003202!4d-86.7028406!16s%2Fg%2F11cr_0wgw0!19sChIJrcy4P39DZIgRmjVT5BbCwPw?authuser=0&hl=en&rclk=1"
"Serenity Dental","4.8","161","Dentist","1030 W Main St, Lebanon, TN 37087, United States","http://www.drlarkins.com/","+1 615-444-3932","https://www.google.com/maps/place/Serenity+Dental/data=!4m7!3m6!1s0x886421e74c632807:0x8125c97cc16d3a3d!8m2!3d36.2113998!4d-86.3163098!16s%2Fg%2F1tdmfm99!19sChIJByhjTOchZIgRPTptwXzJJYE?authuser=0&hl=en&rclk=1"
"West End Smiles","4.6","35","Dentist","1800 West End Ave UNIT 102, Nashville, TN 37203, United States","http://www.westendsmiles.com/","+1 615-327-4904","https://www.google.com/maps/place/West+End+Smiles/data=!4m7!3m6!1s0x886466b02efb7ba7:0xa5c7b0eed050fe9b!8m2!3d36.1530439!4d-86.7962921!16s%2Fg%2F1tfrsnm0!19sChIJp3v7LrBmZIgRm_5Q0O6wx6U?authuser=0&hl=en&rclk=1"
"Nashville Dentistry Co.","4.9","354","Dentist","211 Franklin Rd Suite 180, Brentwood, TN 37027, United States","https://www.nashvilledentistryco.com/","+1 615-703-8309","https://www.google.com/maps/place/Nashville+Dentistry+Co./data=!4m7!3m6!1s0x88647b24536e55ad:0x239b989d9a838bee!8m2!3d36.0323671!4d-86.7907234!16s%2Fg%2F11dfjx1n5r!19sChIJrVVuUyR7ZIgR7ouDmp2YmyM?authuser=0&hl=en&rclk=1"
"Dental Design Studios LLC","4.9","517","Dentist","145 Thompson Ln, Nashville, TN 37211, United States","http://dentaldesignstudiosllc.com/","+1 615-432-2388","https://www.google.com/maps/place/Dental+Design+Studios+LLC/data=!4m7!3m6!1s0x88646fbf6bb91bcd:0x51479d5b2cf8fc5c!8m2!3d36.109891!4d-86.7377817!16s%2Fg%2F1q5hrm92h!19sChIJzRu5a79vZIgRXPz4LFudR1E?authuser=0&hl=en&rclk=1"
"Martin Dental Studio: Thomas Martin, DDS","4.9","142","Dentist","505 Myatt Dr, Nashville, TN 37115, United States","https://www.martindentalstudiotn.com/","+1 615-865-2260","https://www.google.com/maps/place/Martin+Dental+Studio:+Thomas+Martin,+DDS/data=!4m7!3m6!1s0x886443bcdb99d423:0xc8037e276b103a25!8m2!3d36.2793941!4d-86.6904373!16s%2Fg%2F1tdm91g2!19sChIJI9SZ27xDZIgRJToQayd-A8g?authuser=0&hl=en&rclk=1"
"Dr. Hecklin: Family & Cosmetic Dentistry","5.0","155","Dentist","5606 Brookwood Pl, Nashville, TN 37205, United States","https://www.drhecklin.com/","+1 615-356-7500","https://www.google.com/maps/place/Dr.+Hecklin:+Family+%26+Cosmetic+Dentistry/data=!4m7!3m6!1s0x886463d44ba46543:0xd537fb102efd941f!8m2!3d36.1321514!4d-86.8586344!16s%2Fg%2F1vppt7r8!19sChIJQ2WkS9RjZIgRH5T9LhD7N9U?authuser=0&hl=en&rclk=1"
"Nashville Cosmetic and Implant Dentistry","4.8","198","Dentist","2828 Bransford Ave, Nashville, TN 37204, United States","https://www.bionicteeth.com/","+1 615-297-5577","https://www.google.com/maps/place/Nashville+Cosmetic+and+Implant+Dentistry/data=!4m7!3m6!1s0x886465c0d425c16d:0xc7dcbd2da02b25ae!8m2!3d36.1135441!4d-86.7664332!16s%2Fg%2F1tvm3hhp!19sChIJbcEl1MBlZIgRriUroC293Mc?authuser=0&hl=en&rclk=1"
"Ideal Dental Smyrna","4.8","225","Dentist","574 Sam Ridley Pkwy W, Smyrna, TN 37167, United States","https://www.myidealdental.com/smyrna/","+1 615-488-1151","https://www.google.com/maps/place/Ideal+Dental+Smyrna/data=!4m7!3m6!1s0x88640de652ff8687:0x78ae26ab3d683491!8m2!3d35.980754!4d-86.5601125!16s%2Fg%2F11s87tw8nd!19sChIJh4b_UuYNZIgRkTRoPasmrng?authuser=0&hl=en&rclk=1"
"Bivens Dentistry","4.7","39","Dental clinic","660 S Mt Juliet Rd ste 200, Mt. Juliet, TN 37122, United States","http://www.bivensdentistry.com/","+1 615-773-8882","https://www.google.com/maps/place/Bivens+Dentistry/data=!4m7!3m6!1s0x886415cf90d142f3:0x7c2aa5e5c670009c!8m2!3d36.1607728!4d-86.5160772!16s%2Fg%2F1vzqs_90!19sChIJ80LRkM8VZIgRnABwxuWlKnw?authuser=0&hl=en&rclk=1"
"Daily Dental Belle Meade","4.4","71","Dentist","105 Heady Dr, Nashville, TN 37205, United States","https://www.daily.dental/","+1 615-352-6684","https://www.google.com/maps/place/Daily+Dental+Belle+Meade/data=!4m7!3m6!1s0x8864631caf9c5ec1:0x7ab95d0840ee7f2e!8m2!3d36.0984102!4d-86.8715809!16s%2Fg%2F11gmxb4v76!19sChIJwV6crxxjZIgRLn_uQAhduXo?authuser=0&hl=en&rclk=1"
"Carlin Dental","4.9","31","Dentist","100 Springhouse Ct #130, Hendersonville, TN 37075, United States","https://www.carlindental.com/locations/hendersonville-office","+1 615-431-2723","https://www.google.com/maps/place/Carlin+Dental/data=!4m7!3m6!1s0x88644747bc400e43:0x203262ae6a2375d8!8m2!3d36.3141655!4d-86.5988371!16s%2Fg%2F1tf08d4h!19sChIJQw5AvEdHZIgR2HUjaq5iMiA?authuser=0&hl=en&rclk=1"
"Dentists of Bellevue","4.3","112","Dentist","8131 Sawyer Brown Rd Ste 501, Nashville, TN 37221, United States","https://www.dentistsofbellevue.com/?sc_cid=GBP%3AO%3AGP%3A853%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_OTAyOTA2OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","+1 615-933-1981","https://www.google.com/maps/place/Dentists+of+Bellevue/data=!4m7!3m6!1s0x886488f630b62bef:0xe92fe5edba764692!8m2!3d36.080656!4d-86.9476498!16s%2Fg%2F11f4ldmt6l!19sChIJ7yu2MPaIZIgRkkZ2uu3lL-k?authuser=0&hl=en&rclk=1"
"Fairview Family Dentistry","4.9","55","Dentist","7022 City Center Way, Fairview, TN 37062, United States","http://www.fairviewfamilydentistrytn.com/","+1 615-266-2645","https://www.google.com/maps/place/Fairview+Family+Dentistry/data=!4m7!3m6!1s0x88649bf6e7e3c6db:0x8ac4cbfee35e8946!8m2!3d35.973994!4d-87.1307905!16s%2Fg%2F11cs4l8v84!19sChIJ28bj5_abZIgRRole4_7LxIo?authuser=0&hl=en&rclk=1"
